Sentiment,Sentence
Positive,"Caxton Associates LP Acquires New Position in Level 3 Communications, Inc. (NYSE:LVLT) Posted by Caroline Horne | Dec 22nd, 2017 
Caxton Associates LP purchased a new stake in shares of Level 3 Communications, Inc. (NYSE:LVLT) during the third quarter, according to its most recent Form 13F filing with the Securities and Exchange Commission (SEC)."
Positive,"The firm purchased 9,600 shares of the technology company's stock, valued at approximately $512,000."
Neutral,A number of other hedge funds have also recently made changes to their positions in the stock.
Neutral,Global X Management Co.
Positive,LLC lifted its stake in Level 3 Communications by 12.7% in the 2nd quarter.
Neutral,Global X Management Co.
Positive,"LLC now owns 4,710 shares of the technology company's stock worth $279,000 after acquiring an additional 532 shares in the last quarter."
Positive,Wetherby Asset Management Inc. raised its stake in shares of Level 3 Communications by 3.5% during the 2nd quarter.
Positive,"Wetherby Asset Management Inc. now owns 4,271 shares of the technology company's stock worth $253,000 after purchasing an additional 145 shares in the last quarter."
Positive,Schwab Charles Investment Management Inc. raised its stake in shares of Level 3 Communications by 5.9% during the 2nd quarter.
Positive,"Schwab Charles Investment Management Inc. now owns 949,825 shares of the technology company's stock worth $56,325,000 after purchasing an additional 52,658 shares in the last quarter."
Positive,Arizona State Retirement System raised its stake in shares of Level 3 Communications by 0.4% during the 2nd quarter.
Positive,"Arizona State Retirement System now owns 72,600 shares of the technology company's stock worth $4,305,000 after purchasing an additional 300 shares in the last quarter."
Positive,"Finally, DekaBank Deutsche Girozentrale raised its stake in shares of Level 3 Communications by 217.4% during the 2nd quarter."
Positive,"DekaBank Deutsche Girozentrale now owns 74,215 shares of the technology company's stock worth $4,493,000 after purchasing an additional 50,833 shares in the last quarter."
Neutral,98.84% of the stock is owned by institutional investors and hedge funds.
Positive,"Get Level 3 Communications alerts: 
Shares of Level 3 Communications, Inc. ( NYSE LVLT ) traded up $0.93 during trading on Friday, hitting $53.63."
Positive,"The company had a trading volume of 3,119,100 shares, compared to its average volume of 2,423,731."
Neutral,"The company has a quick ratio of 1.79, a current ratio of 1.79 and a debt-to-equity ratio of 0.94."
Neutral,"Level 3 Communications, Inc. has a twelve month low of $50.82 and a twelve month high of $64.61."
Neutral,Several analysts have recently weighed in on LVLT shares.
Very Negative,"BidaskClub lowered Level 3 Communications from a ""sell"" rating to a ""strong sell"" rating in a report on Saturday, September 9th."
Negative,"Barclays decreased their price objective on Level 3 Communications from $59.00 to $53.00 and set an ""equal weight"" rating on the stock in a report on Wednesday, October 4th."
Neutral,"Two equities research analysts have rated the stock with a sell rating, four have given a hold rating and one has given a buy rating to the company's stock."
Neutral,"The stock currently has a consensus rating of ""Hold"" and an average price target of $61.47."
Negative,ILLEGAL ACTIVITY WARNING: This news story was reported by The Lincolnian Online and is the property of of The Lincolnian Online.
Negative,"If you are accessing this news story on another publication, it was illegally copied and republished in violation of United States and international trademark and copyright laws."
Neutral,The legal version of this news story can be viewed at https://www.thelincolnianonline.com/2017/12/22/caxton-associates-lp-invests-512000-in-level-3-communications-inc-lvlt-stock-updated.html.
Neutral,"Level 3 Communications Company Profile 
Level 3 Communications, Inc is a provider of a range of integrated communications services."
Neutral,"The Company's operating segments include North America, EMEA and Latin America."
Neutral,"The North America includes operations in Atlanta, Georgia; Littleton, Colorado; Miami, Florida; Montreal, Canada; New York, New York; Phoenix, Arizona; Pittsburgh, Pennsylvania; Southfield, Michigan, and Tulsa, Oklahoma."
Neutral,Receive News & Ratings for Level 3 Communications Daily - Enter your email address below to receive a concise daily summary of the latest news and analysts' ratings for Level 3 Communications and related companies with MarketBeat.com's FREE daily email newsletter .
Neutral,«
