Sentiment,Sentence
Neutral,"First Trust Advisors L.P. Announces Distributions for Exchange-Traded Funds 
First Trust Advisors L.P. (""FTA"") announces the declaration of distributions for 117 exchange-traded funds advised by FTA."
Neutral,"The following dates apply to today's distribution declarations: First Trust Exchange-Traded Fund III FCAL First Trust California Municipal High Income ETF Monthly First Trust Emerging Markets Local Currency Bond ETF Monthly First Trust Managed Municipal ETF Monthly First Trust Municipal High Income ETF Monthly First Trust Preferred Securities and Income ETF Monthly First Trust Institutional Preferred Securities and Income ETF Monthly First Trust Long/Short Equity ETF Quarterly First Trust Horizon Managed Volatility Developed International ETF Quarterly First Trust Horizon Managed Volatility Domestic ETF Quarterly First Trust RiverFront Dynamic Asia Pacific ETF Quarterly First Trust RiverFront Dynamic Developed International ETF Quarterly First Trust RiverFront Dynamic Emerging Markets ETF Quarterly First Trust RiverFront Dynamic Europe ETF Quarterly First Trust Exchange-Traded Fund IV EMLP First Trust North American Energy Infrastructure Fund Quarterly First Trust SSI Strategic Convertible Securities ETF Monthly First Trust Strategic Income ETF Monthly First Trust Senior Loan Fund Monthly First Trust Enhanced Short Maturity ETF Monthly First Trust Tactical High Yield ETF Monthly First Trust Low Duration Opportunities ETF Monthly First Trust Heitman Global Prime Real Estate ETF Quarterly First Trust Exchange-Traded Fund V FMF First Trust Morningstar Managed Futures Strategy Fund Quarterly First Trust Exchange-Traded Fund VI FTHI First Trust BuyWrite Income ETF Monthly First Trust Hedged BuyWrite Income ETF Monthly First Trust Exchange-Traded Fund VII FAAR First Trust Alternative Absolute Return Strategy ETF Quarterly First Trust Global Tactical Commodity Strategy Fund Quarterly First Trust Exchange-Traded Fund VIII ERM First Trust CEF Income Opportunity ETF Monthly First Trust TCW Opportunistic Fixed Income ETF Monthly First Trust Municipal CEF Income Opportunity ETF Monthly EquityCompass Tactical Risk Manager ETF Quarterly First Trust Dorsey Wright People's Portfolio ETF Quarterly First Trust Dow 30 Equal Weight ETF Quarterly First Trust Morningstar Dividend Leaders Index Fund Quarterly First Trust Dow Jones Select MicroCap Index Fund Quarterly First Trust US Equity Opportunities ETF Quarterly First Trust S&P REIT Index Fund Quarterly First Trust Capital Strength ETF Quarterly First Trust Value Line ® Dividend Index Fund Quarterly First Trust Value Line ® 100 Exchange-Traded Fund Quarterly First Trust NASDAQ ® ABA Community Bank Index Fund Quarterly First Trust NASDAQ ® Clean Edge ® Green Energy Index Fund Quarterly First Trust NASDAQ-100 Equal Weighted Index Fund Quarterly First Trust NASDAQ-100 Ex-Technology Sector Index Fund Quarterly First Trust NASDAQ-100-Technology Sector Index Fund Quarterly First Trust Total US Market AlphaDEX ® ETF Quarterly First Trust Exchange-Traded Fund II BICK First Trust BICK Index Fund Quarterly First Trust NASDAQ Global Auto Index Fund Quarterly First Trust Nasdaq Cybersecurity ETF Quarterly First Trust STOXX ® European Select Dividend Index Fund Quarterly First Trust FTSE EPRA/NAREIT Developed Markets Real Estate Index Fund Quarterly First Trust Dow Jones Global Select Dividend Index Fund Quarterly First Trust Global Engineering and Construction ETF Quarterly First Trust Nasdaq Smartphone Index Fund Quarterly First Trust International IPO ETF Quarterly First Trust Indxx Global Agriculture ETF Quarterly First Trust Indxx Global Natural Resources Income ETF Quarterly First Trust NASDAQ ® Clean Edge ® Smart Grid Infrastructure Index Fund Quarterly First Trust Cloud Computing ETF Quarterly First Trust Exchange-Traded Fund VI AIRR First Trust RBA American Industrial Renaissance ® ETF Quarterly First Trust Nasdaq Retail ETF Quarterly First Trust Nasdaq Food & Beverage ETF Quarterly First Trust Nasdaq Semiconductor ETF Quarterly First Trust Nasdaq Oil & Gas ETF Quarterly First Trust Nasdaq Bank ETF Quarterly First Trust Nasdaq Transportation ETF Quarterly First Trust Dorsey Wright Focus 5 ETF Quarterly First Trust Dorsey Wright Dynamic Focus 5 ETF Quarterly First Trust Dorsey Wright International Focus 5 ETF Quarterly Multi-Asset Diversified Income Index Fund Monthly First Trust RBA Quality Income ETF Quarterly First Trust Rising Dividend Achievers ETF Quarterly Developed International Equity Select ETF Quarterly US Equity Dividend Select ETF Quarterly Emerging Markets Equity Select ETF Quarterly Large Cap US Equity Select ETF Quarterly Mid Cap US Equity Select ETF Quarterly Small Cap US Equity Select ETF Quarterly First Trust SMID Cap Rising Dividend Achievers ETF Quarterly First Trust NASDAQ Technology Dividend Index Fund Quarterly International Multi-Asset Diversified Income Index Fund Monthly First Trust Exchange-Traded AlphaDEX ® Fund FAB First Trust Multi Cap Value AlphaDEX ® Fund Quarterly First Trust Multi Cap Growth AlphaDEX ® Fund Quarterly First Trust Large Cap Core AlphaDEX ® Fund Quarterly First Trust Mega Cap AlphaDEX ® Fund Quarterly First Trust Mid Cap Value AlphaDEX ® Fund Quarterly First Trust Mid Cap Core AlphaDEX ® Fund Quarterly First Trust Mid Cap Growth AlphaDEX ® Fund Quarterly First Trust Large Cap Value AlphaDEX ® Fund Quarterly First Trust Large Cap Growth AlphaDEX ® Fund Quarterly First Trust Consumer Discretionary AlphaDEX ® Fund Quarterly First Trust Consumer Staples AlphaDEX ® Fund Quarterly First Trust Technology AlphaDEX ® Fund Quarterly First Trust Energy AlphaDEX ® Fund Quarterly First Trust Financials AlphaDEX ® Fund Quarterly First Trust Industrials/Producer Durables AlphaDEX ® Fund Quarterly First Trust Utilities AlphaDEX ® Fund Quarterly First Trust Materials AlphaDEX ® Fund Quarterly First Trust Small Cap Growth AlphaDEX ® Fund Quarterly First Trust Small Cap Value AlphaDEX ® Fund Quarterly First Trust Small Cap Core AlphaDEX ® Fund Quarterly First Trust Exchange-Traded AlphaDEX ® Fund II FAUS First Trust Australia AlphaDEX ® Fund Quarterly First Trust Brazil AlphaDEX ® Fund Quarterly First Trust China AlphaDEX ® Fund Quarterly First Trust Developed Markets ex-US AlphaDEX ® Fund Quarterly First Trust Developed Markets ex-US Small Cap AlphaDEX ® Fund Quarterly First Trust Emerging Markets AlphaDEX ® Fund Quarterly First Trust Emerging Markets Small Cap AlphaDEX ® Fund Quarterly First Trust Europe AlphaDEX ® Fund Quarterly First Trust Hong Kong AlphaDEX ® Fund Quarterly First Trust Japan AlphaDEX ® Fund Quarterly First Trust United Kingdom AlphaDEX ® Fund Quarterly First Trust Latin America AlphaDEX ® Fund Quarterly First Trust Asia Pacific ex-Japan AlphaDEX ® Fund Quarterly First Trust Taiwan AlphaDEX ® Fund Quarterly $0.5415 
First Trust Advisors L.P., the Funds' investment advisor, along with its affiliate, First Trust Portfolios L.P., are privately-held companies which provide a variety of investment services, including asset management and financial advisory services, with collective assets under management or supervision of approximately $117 billion as of November 30, 2017 through unit investment trusts, exchange-traded funds, closed-end funds, mutual funds and separate managed accounts."
Neutral,"You should consider the investment objectives, risks, charges and expenses of a Fund before investing."
Neutral,Prospectuses for the Funds contain this and other important information and are available free of charge by calling toll-free at 1-800-621-1675 or visiting www.ftportfolios.com .
Neutral,A prospectus should be read carefully before investing.
Neutral,Past performance is no assurance of future results.
Neutral,Investment return and market value of an investment in a Fund will fluctuate.
Neutral,"Shares, when sold, may be worth more or less than their original cost."
Negative,"Principal Risk Factors: A Fund's shares will change in value, and you could lose money by investing in a Fund."
Neutral,An investment in a Fund is not a deposit of a bank and is not insured or guaranteed by the Federal Deposit Insurance Corporation or any other governmental agency.
