Sentiment,Sentence
Neutral,"Denver, CO, Dec. 21, 2017 (GLOBE NEWSWIRE) -- FutureLand Corp. (OTC Pinks: FUTL), a leading provider of strategic real estate investment, grow facilities and material solutions to the medical and recreational global cannabis industry announces CEO letter to its shareholders;
Dear Shareholders of FutureLand Corp. (FUTL),
We here at FutureLand Corp would like to wish everyone a Merry Christmas, Happy Holidays and a fantastic New Year!"
Neutral,We also want to update you on the company and let you know what to expect in 2018.
Positive,"First, a focus on the industry:  The entire cannabis industry is very hot right now and is expected to surge even more with the legalization and new rollout of the entire California market, (recreational and medical)."
Neutral,FutureLand is currently looking at opportunities to enter that market.
Positive,It is only a matter of time before the Federal Government initiates a plan that de-schedules cannabis and increases its commerce to new heights.
Negative,"No doubt, private prisons, Big pharma and Big tobacco, to name a few, are large reasons why this process has been stultified time and again."
Neutral,"Do not forget, these players are strong lobbyists, and the parties that control the flow of money do not want to see any of it diverted to other enterprises, especially those they do not control."
Neutral,"Being Federally illegal means that there is no easy way for ""legitimate"" enterprises like these to grab new or old market share without exposing their current ventures to massive and untenable risk."
Neutral,"That being said, as cannabis gains ground there begins to be a point of diminishing returns on old investments that are slipping, forcing a need to convert to the new game."
Neutral,We believe that time is nearly upon us.
Neutral,"Many Americans are learning that various ailments they possess, and have some prescription for, can be better treated less expensively, with cannabis."
Neutral,"This means Billions of losses to Big Pharma, unless they can hand off the baton."
Negative,But even this is a costly pursuit as they have to spend a ton of money just to keep the clients they already have and stand to lose.
Negative,"As the shift occurs, this means similar losses for the private prisons."
Neutral,"Big tobacco just wants in because it perfectly dove tails with what they already do, (medical benefits excluded)."
Positive,"However, this is all a good thing."
Neutral,"Great interest means great reform, and ultimately that means total integration."
Very Positive,"And with that, us little guys stand to gain LARGE."
Positive,FutureLand made some key acquisitions over the last year.
Neutral,"We now own 51% of Amps Electric, Inc. which is a bonded FEMA approved general contractor, electrical contractor and solar supplier."
Positive,Power is a dynamic factor in the space and we believe this is very good strategic move for the company.
Positive,Gross revenues for 2017 look to be above 7 Million dollars with so much opportunity for growth.
Positive,We expect this to be a winner for the company in the coming years.
Neutral,"Additionally, the company owns 50% of 78 acres in Grants Pass, Oregon with partner Hspendleton, llc."
Neutral,"We also own 50% of 265 acres in Wolf's Creek, Oregon."
Neutral,Both parcels are zoned for cultivation of cannabis.
Neutral,"The company also contracted to purchase from John C. Miller 50% of a Tier 2 Outdoor Grow license (Groovy Groves, LLC)."
Neutral,"The transfer of ownership to FutureLand Oregon, LLC is nearly complete and the company is only waiting for approval from the state."
Neutral,"Groovy Groves, LLC harvested nearly 400 pounds last month and are currently drying, curing, trimming and testing the material so it can be sold."
Neutral,The plan is to continue the development of the 78 acres and apply for a second license on that property.
Neutral,"The current Tier 2 Outdoor license located on the 265 acres we would like to change to a hybrid Tier 2 with 5,000 square feet of indoor and 20,000 outdoor so that we can have year-round harvests."
Positive,"This, along with a few other tweeks, should enable us to grow the business by ten-fold in 2018."
Positive,"If all goes according to plan, we will likely get a complete indoor Tier 2 license in the following year."
