Sentiment,Sentence
Neutral,"WILMINGTON, Del. , Oct. 5, The Siegfried Group, LLP (Siegfried) recently convened a group of its newest professionals at the Hotel Palomar in Chicago, IL for Orientation."
Neutral,"Siegfried's Orientation program introduces the Firm's extraordinary culture, compelling business strategy, and interesting and challenging work to its newest professionals."
Neutral,"During the multi-day event, new employees learn more about the company, meet members of Siegfried's Leadership and Operations teams, and become acquainted with their new colleagues."
Neutral,"Siegfried Welcomes New Professionals at Orientation Hosted in Chicago Notably, all new employees have the opportunity to meet with Rob Siegfried , CEO and Founder, about Siegfried's higher purpose: We help People transform themselves into better Leaders to exponentially improve their Lives."
Neutral,"""During your career you've gained a lot of knowledge, and as a result, you've joined our Firm."
Neutral,"And we appreciate you for that,"" said Siegfried."
Neutral,Siegfried is pleased to welcome all of our talented new Professionals to the Firm!
Neutral,Rebecca Barto joins the Philadelphia Metro Market as a Senior Associate.
Positive,She brings an exacting and logical style of critical thinking to achieve a balance between efficiency and integrity.
Neutral,"Barto attended Rowan University , where she earned her Bachelor of Science in accounting and finance."
Neutral,"Before this, she was at Baker Tilly, where she focused on the financial services and insurance industries in the New York Metro area."
Neutral,"Wes Bazelais joins the Philadelphia Metro Market as a Senior Associate after spending four busy seasons with PwC, where he worked on a large chemical company audit."
Positive,"Bazelais, a dedicated and compassionate professional, earned his Bachelor of Science in accounting from Delaware State University ."
Neutral,Jeremy Berkus joins the Los Angeles Market as a Senior Associate.
Positive,He takes pride in his leadership qualities and works to improve efficiency in team environments.
Neutral,"Berkus attended the University of California, Santa Barbara , where he earned his Bachelor of Science in Business Economics with an emphasis in accounting."
Neutral,"Before coming to the Firm, Berkus gained three years of audit and two years of transaction advisory service experience at BDO."
Neutral,"Kayleigh Bosco , CPA, joins the Atlanta Market as an Associate Manager after spending the last seven years working in the insurance and banking industries, most recently at Fiserv, Inc."
Neutral,She earned her Bachelor of Science in accounting and her master's degree in business administration from LaSalle University .
