Sentiment,Sentence
Neutral,"Tweet 
Wall Street analysts forecast that Bank of Commerce Holdings (NASDAQ:BOCH) will report earnings of $0.19 per share for the current quarter, Zacks reports."
Neutral,"Two analysts have made estimates for Bank of Commerce's earnings, with the lowest EPS estimate coming in at $0.18 and the highest estimate coming in at $0.20."
Positive,"Bank of Commerce posted earnings per share of $0.17 in the same quarter last year, which would indicate a positive year over year growth rate of 11.8%."
Neutral,"The company is scheduled to report its next quarterly earnings report on Friday, January 19th."
Neutral,"According to Zacks, analysts expect that Bank of Commerce will report full-year earnings of $0.69 per share for the current financial year, with EPS estimates ranging from $0.67 to $0.70."
Neutral,"For the next financial year, analysts forecast that the company will report earnings of $0.78 per share."
Neutral,Zacks' EPS averages are a mean average based on a survey of sell-side research firms that cover Bank of Commerce.
Neutral,"Get Bank of Commerce alerts: 
Bank of Commerce (NASDAQ:BOCH) last announced its earnings results on Friday, October 20th."
Positive,"The financial services provider reported $0.18 earnings per share for the quarter, topping the Thomson Reuters' consensus estimate of $0.16 by $0.02."
Negative,"The company had revenue of $11.58 million during the quarter, compared to analyst estimates of $11.67 million."
Neutral,Bank of Commerce had a net margin of 19.58% and a return on equity of 8.66%.
Neutral,Several research analysts have weighed in on BOCH shares.
Positive,"Zacks Investment Research raised shares of Bank of Commerce from a ""hold"" rating to a ""buy"" rating and set a $12.00 target price for the company in a research note on Friday, September 15th."
Positive,"ValuEngine raised shares of Bank of Commerce from a ""buy"" rating to a ""strong-buy"" rating in a research note on Friday, September 1st."
Neutral,Shares of Bank of Commerce ( NASDAQ BOCH ) remained flat at $$11.60 during mid-day trading on Friday.
Neutral,"The stock had a trading volume of 26,700 shares, compared to its average volume of 50,131."
Neutral,"The company has a debt-to-equity ratio of 0.22, a current ratio of 0.85 and a quick ratio of 0.85."
Neutral,"The company has a market cap of $188.75, a PE ratio of 17.31, a price-to-earnings-growth ratio of 2.42 and a beta of 0.42."
Neutral,Bank of Commerce has a one year low of $8.85 and a one year high of $12.40.
Neutral,"The business also recently announced a quarterly dividend, which will be paid on Friday, January 12th."
Neutral,"Shareholders of record on Tuesday, January 2nd will be paid a dividend of $0.03 per share."
Neutral,This represents a $0.12 annualized dividend and a yield of 1.03%.
Neutral,"The ex-dividend date is Friday, December 29th."
Neutral,Bank of Commerce's dividend payout ratio (DPR) is presently 17.91%.
Neutral,Several institutional investors and hedge funds have recently modified their holdings of BOCH.
Positive,The Manufacturers Life Insurance Company lifted its position in shares of Bank of Commerce by 472.0% during the second quarter.
Positive,"The Manufacturers Life Insurance Company now owns 209,521 shares of the financial services provider's stock worth $2,315,000 after purchasing an additional 172,891 shares in the last quarter."
Positive,"State Street Corp acquired a new stake in shares of Bank of Commerce during the second quarter worth about $1,908,000."
Neutral,Banc Funds Co.
Positive,LLC lifted its position in shares of Bank of Commerce by 16.4% during the second quarter.
Neutral,Banc Funds Co.
Positive,"LLC now owns 1,067,326 shares of the financial services provider's stock worth $11,794,000 after purchasing an additional 150,000 shares in the last quarter."
Positive,"Geode Capital Management LLC acquired a new stake in shares of Bank of Commerce during the first quarter worth about $1,141,000."
Positive,"Finally, Bank of New York Mellon Corp lifted its position in shares of Bank of Commerce by 366.8% during the second quarter."
Positive,"Bank of New York Mellon Corp now owns 61,720 shares of the financial services provider's stock worth $682,000 after purchasing an additional 48,497 shares in the last quarter."
Neutral,52.21% of the stock is currently owned by institutional investors and hedge funds.
Neutral,COPYRIGHT VIOLATION NOTICE: This report was originally reported by American Banking News and is owned by of American Banking News.
Negative,"If you are accessing this report on another publication, it was illegally copied and republished in violation of U.S. & international copyright law."
Neutral,The original version of this report can be read at https://www.americanbankingnews.com/2017/12/22/bank-of-commerce-holdings-boch-expected-to-post-earnings-of-0-19-per-share.html.
Neutral,"About Bank of Commerce 
Bank of Commerce Holdings (Holding Company) is a bank holding company."
Neutral,"The Company's principal business is to serve as a holding company for Redding Bank of Commerce (Bank), which operates under two separate names (Redding Bank of Commerce and Sacramento Bank of Commerce)."
Neutral,The Bank operates over four full service facilities in two diverse markets in Northern California.
Neutral,"Get a free copy of the Zacks research report on Bank of Commerce (BOCH) 
For more information about research offerings from Zacks Investment Research, visit Zacks.com   Bank of Commerce   Bank of Commerce"
