Sentiment,Sentence
Neutral,"Jordan Davis Sells 40,000 Shares of Tactile Systems Technology, Inc. (TCMD) Stock Posted by Caroline Horne | Dec 15th, 2017 
Tactile Systems Technology, Inc. (NASDAQ:TCMD) Director Jordan Davis sold 40,000 shares of Tactile Systems Technology stock in a transaction that occurred on Thursday, December 14th."
Neutral,"The stock was sold at an average price of $29.52, for a total transaction of $1,180,800.00."
Neutral,"Following the sale, the director now owns 5,006 shares of the company's stock, valued at approximately $147,777.12."
Neutral,"The sale was disclosed in a legal filing with the SEC, which is available through the SEC website ."
Negative,"Shares of Tactile Systems Technology, Inc. ( NASDAQ TCMD ) traded down $0.49 during mid-day trading on Friday, hitting $28.90."
Negative,"198,700 shares of the stock were exchanged, compared to its average volume of 204,527."
Neutral,"The company has a market capitalization of $520.26, a price-to-earnings ratio of 195.93, a PEG ratio of 4.39 and a beta of -0.69."
Neutral,"Tactile Systems Technology, Inc. has a twelve month low of $14.37 and a twelve month high of $37.88."
Neutral,"Get Tactile Systems Technology alerts: 
Tactile Systems Technology (NASDAQ:TCMD) last announced its quarterly earnings data on Tuesday, November 7th."
Positive,"The company reported $0.07 EPS for the quarter, topping the Zacks' consensus estimate of $0.05 by $0.02."
Positive,"The business had revenue of $28.28 million for the quarter, compared to analyst estimates of $27.66 million."
Neutral,Tactile Systems Technology had a net margin of 5.84% and a return on equity of 4.75%.
Neutral,The firm's revenue for the quarter was up 25.0% on a year-over-year basis.
Neutral,"During the same quarter in the previous year, the firm posted $0.01 earnings per share."
Neutral,"analysts forecast that Tactile Systems Technology, Inc. will post 0.34 EPS for the current fiscal year."
Neutral,A number of hedge funds and other institutional investors have recently bought and sold shares of the business.
Positive,"Peregrine Capital Management LLC bought a new stake in Tactile Systems Technology during the third quarter worth $16,984,000."
Positive,Russell Investments Group Ltd. raised its position in Tactile Systems Technology by 12.2% during the third quarter.
Positive,"Russell Investments Group Ltd. now owns 522,050 shares of the company's stock worth $16,157,000 after acquiring an additional 56,565 shares in the last quarter."
Neutral,Gilder Gagnon Howe & Co.
Positive,LLC raised its position in Tactile Systems Technology by 6.8% during the third quarter.
Neutral,Gilder Gagnon Howe & Co.
Positive,"LLC now owns 466,903 shares of the company's stock worth $14,451,000 after acquiring an additional 29,912 shares in the last quarter."
Positive,Vanguard Group Inc. raised its position in Tactile Systems Technology by 18.8% during the second quarter.
Positive,"Vanguard Group Inc. now owns 376,161 shares of the company's stock worth $10,750,000 after acquiring an additional 59,595 shares in the last quarter."
Neutral,"Finally, Lord Abbett & CO."
Positive,LLC raised its position in Tactile Systems Technology by 108.3% during the second quarter.
Neutral,Lord Abbett & CO.
Positive,"LLC now owns 371,980 shares of the company's stock worth $10,631,000 after acquiring an additional 193,429 shares in the last quarter."
Neutral,71.68% of the stock is currently owned by hedge funds and other institutional investors.
Neutral,A number of brokerages recently issued reports on TCMD.
Negative,"BTIG Research cut shares of Tactile Systems Technology from a ""buy"" rating to a ""neutral"" rating in a report on Monday, September 18th."
Neutral,"Guggenheim began coverage on shares of Tactile Systems Technology in a report on Thursday, October 12th."
Positive,"They set a ""buy"" rating and a $47.00 price objective for the company."
Very Positive,"Zacks Investment Research upgraded shares of Tactile Systems Technology from a ""hold"" rating to a ""strong-buy"" rating and set a $28.00 price objective for the company in a report on Friday, November 10th."
Neutral,"Northland Securities assumed coverage on shares of Tactile Systems Technology in a report on Tuesday, October 17th."
Neutral,"They set a ""market perform"" rating for the company."
Neutral,"Finally, Sidoti assumed coverage on shares of Tactile Systems Technology in a research note on Friday, December 8th."
Neutral,"They issued a ""neutral"" rating on the stock."
Neutral,"Four research analysts have rated the stock with a hold rating, four have issued a buy rating and one has issued a strong buy rating to the company."
Positive,"The company presently has an average rating of ""Buy"" and an average target price of $34.25."
Negative,"ILLEGAL ACTIVITY WARNING: ""Jordan Davis Sells 40,000 Shares of Tactile Systems Technology, Inc. (TCMD) Stock"" was posted by The Lincolnian Online and is the property of of The Lincolnian Online."
Negative,"If you are reading this story on another site, it was illegally stolen and republished in violation of United States and international trademark and copyright legislation."
Neutral,The original version of this story can be viewed at https://www.thelincolnianonline.com/2017/12/15/jordan-davis-sells-40000-shares-of-tactile-systems-technology-inc-tcmd-stock.html.
Neutral,"Tactile Systems Technology Company Profile 
Tactile Systems Technology, Inc is a medical technology company that develops and provides medical devices for the treatment of chronic diseases at home."
Neutral,"The Company is a manufacturer and distributor of the Flexitouch and Entre Systems, medical devices that help control symptoms of lymphedema, a chronic and progressive medical condition that is often an unintended consequence of cancer treatment, and the ACTitouch System, a medical device used to treat venous leg ulcers and chronic venous insufficiency."
Neutral,Tactile Systems Technology   Tactile Systems Technology
