Sentiment,Sentence
Positive,"Tweet 
Craig Hallum reiterated their buy rating on shares of Senestech, Inc. (NASDAQ:SNES) in a research report report published on Wednesday morning."
Unknown,"Craig Hallum currently has a $3.00 price objective on the stock, down from their prior price objective of $8.00."
Unknown,"Separately, Zacks Investment Research downgraded Senestech from a hold rating to a sell rating in a research report on Wednesday, August 16th."
Unknown,"Senestech ( SNES ) traded down $0.01 during trading on Wednesday, hitting $0.88."
Unknown,"584,200 shares of the stock traded hands, compared to its average volume of 153,539."
Unknown,"The company has a quick ratio of 2.67, a current ratio of 2.94 and a debt-to-equity ratio of 0.17."
Unknown,Senestech has a 1 year low of $0.81 and a 1 year high of $10.69.
Unknown,"Senestech (NASDAQ:SNES) last posted its quarterly earnings results on Wednesday, November 8th."
Unknown,"The company reported ($0.28) earnings per share for the quarter, beating the Thomson Reuters' consensus estimate of ($0.31) by $0.03."
Unknown,"Senestech had a negative net margin of 14,473.40% and a negative return on equity of 190.41%."
Unknown,"The firm had revenue of $0.02 million during the quarter, compared to the consensus estimate of $0.25 million."
Unknown,sell-side analysts predict that Senestech will post -1.26 EPS for the current year.
Negative,A number of large investors have recently bought and sold shares of SNES.
Unknown,"TCI Wealth Advisors Inc. acquired a new position in shares of Senestech in the third quarter valued at approximately $748,000."
Unknown,Prudential PLC boosted its stake in Senestech by 49.3% during the 2nd quarter.
Unknown,"Prudential PLC now owns 447,971 shares of the company's stock valued at $2,661,000 after purchasing an additional 147,971 shares during the last quarter."
Unknown,Gilder Gagnon Howe & Co.
Unknown,LLC boosted its stake in Senestech by 3.0% during the 3rd quarter.
Unknown,Gilder Gagnon Howe & Co.
Unknown,"LLC now owns 1,078,499 shares of the company's stock valued at $1,995,000 after purchasing an additional 31,330 shares during the last quarter."
Unknown,Skylands Capital LLC boosted its stake in Senestech by 139.8% during the 3rd quarter.
Very Negative,"Skylands Capital LLC now owns 87,483 shares of the company's stock valued at $162,000 after purchasing an additional 51,000 shares during the last quarter."
Unknown,"Finally, White Pine Capital LLC purchased a new stake in Senestech during the 2nd quarter valued at $110,000."
Unknown,20.73% of the stock is currently owned by institutional investors.
Unknown,"Senestech Company Profile 
SenesTech, Inc is a United States-based biotechnology platform and research company."
Very Positive,The Company is engaged in developing a technology for managing animal populations by fertility control.
Unknown,"It offers ContraPest, a fertility control product candidate."
Neutral,ContraPest's technology and approach targets the reproductive capabilities of both sexes.
Neutral,Senestech Inc.
Neutral,Senestech Inc.
